event_source_concept_id,target_concept_id
15676-0,1205
15678-6,1204
15680-2,1204
15681-0,1204
15682-8,1204
15683-6,1205
15684-4,1204
15685-1,1204
15687-7,1204
15688-5,1204
15689-3,1205
15690-1,1205
15691-9,1205
15692-7,1205
15693-5,1204
15694-3,1204
15696-8,1205
15697-6,1204
15698-4,1204
15699-2,1205
157-8,270
15700-8,1204
15701-6,1204
15703-2,1204
15704-0,1204
15705-7,1204
15706-5,1205
15707-3,1205
15709-9,1204
15710-7,1204
15711-5,1204
15712-3,1204
15713-1,1204
15715-6,1205
15716-4,1204
15720-6,1204
15721-4,1204
15722-2,1204
15723-0,1204
15724-8,1205
15725-5,1205
15726-3,1204
15728-9,1205
15729-7,1205
15730-5,1204
15732-1,1205
15733-9,1204
15734-7,1204
15735-4,1205
15736-2,1205
15737-0,1204
15738-8,1204
15739-6,1204
15740-4,1204
15741-2,1204
15742-0,1204
15743-8,1204
15744-6,1204
